index,artist,country
646,Jennell Hawkins,US
649,Jerry Byrd,US
650,Jerry Fuller,US
651,Jerry Jaye,US
652,Jerry Jeff Walker,US
653,Jerry Landis,US
654,Jerry Lee Lewis,US
655,Jerry Murad's Harmonicats,US
656,Jerry Reed And The Hully Girlies,US
657,Jerry Smith and his Pianos,US
658,Jerry Vale,US
659,Jerry Wallace,US
660,Jerryo,US
661,Jesse James,GB
662,Jessie Hill,US
663,Jewel Akens,US
664,Jim & Jean,DE
665,Jim Edward Brown,US
666,Jim Reeves,US
667,Jim and Monica,US
668,Jimi Hendrix,US
669,Jimmie Beaumont,US
670,Jimmie Rodgers,US
671,Jimmy Castor,US
672,Jimmy Charles,US
673,Jimmy Clanton,US
674,Jimmy Cliff,JM
675,Jimmy Cross,US
676,Jimmy Dean,US
677,Jimmy Delphs,US
678,Jimmy Durante,US
679,Jimmy Elledge,US
680,Jimmy Gilmer And The Fireballs,US
681,Jimmy Holiday,US
682,Jimmy Hughes,US
683,Jimmy James & The Vagabonds,GB
684,Jimmy Jones,US
685,Jimmy Lewis,US
686,Jimmy McCracklin,US
687,Jimmy McGriff,US
688,Jimmy Norman,US
689,Jimmy Reed,US
690,Jimmy Ricks,US
691,Jimmy Roselli,US
692,Jimmy Ruffin,US
693,Jimmy Smith,US
694,Jimmy Smith With Kenny Burrell And Grady Tate,US
695,Jimmy Soul,US
696,Jimmy Velvet,US
697,Jimmy Witherspoon,US
698,Jimmy Witter,US
699,Jo Ann & Troy,US
700,Jo Ann Campbell,US
701,Joan Baez,US
702,Joanie Sommers,US
703,Jody Miller,US
704,Joe Barry,US
705,Joe Cocker,GB
706,Joe Dowell,US
707,Joe Harnell,US
708,Joe Henderson,US
709,Joe Hinton,US
710,Joe Jones,US
711,Joe Perkins,US
712,Joe Reisman,US
713,Joe Rene,US
714,Joe Sherman,US
715,Joe Simon,US
716,Joe South,US
717,Joe Stampley,US
718,Joe Tex,US
719,Joe Turner,US
720,Joey Dee,US
721,Joey Dee & the Starliters,US
722,Joey Powers,US
723,Joey Vann,US
724,John & Anne Ryder,US
725,John Barry,GB
726,John D. Loudermilk,US
727,John Fred And The Playboys,US
728,John Gary,US
729,John Lee Hooker,US
730,John Mayall,GB
731,John Roberts,US
732,John Sebastian,US
733,John Stewart,US
734,John W. Anderson presents KaSandra,US
735,John Wesley Ryles I,US
736,Johnnie & Joe,US
737,Johnnie Morisette,US
738,Johnnie Taylor,US
739,Johnny Adams,US
740,Johnny And The Hurricanes,US
741,Johnny Beecher and his Buckingham Road Quintet,US
742,Johnny Bond,US
743,Johnny Burnette,US
744,Johnny Cash,US
745,Johnny Caswell,US
746,Johnny Crawford,US
747,Johnny Cymbal,US
748,Johnny Ferguson,US
749,Johnny Gibson,US
750,Johnny Horton,US
751,Johnny Lytle,US
754,Johnny Mastro,US
755,Johnny Mathis,US
756,Johnny Nash,US
757,Johnny Preston,US
758,Johnny Rivers,US
759,Johnny Sea,US
760,Johnny Thunder,US
761,Johnny Tillotson,US
762,Johnny Watson,US
763,Johnny Wyatt,US
764,Johnny and The Expressions,US
765,"Joiner, Arkansas Junior High School Band",US
766,Jon & Robin,GB
767,Jon Thomas,US
768,Jonathan King,GB
769,Joni James,US
770,Jorgen Ingmann,DK
771,Jose Feliciano,US
772,Jose Jimenez,US
773,Jr. Walker & The All Stars,US
774,Jubilee Four,US
775,Judy Clay & William Bell,US
776,Judy Collins,US
777,Julie Andrews-Dick Van Dyke,DE
778,Julie Monday,US
779,Julie Rogers,GB
780,Jumpin' Gene Simmons,US
781,June Valli,US
782,Junior Parker,US
783,Just Us,US
784,Justine Washington,US
785,Kai Winding,US
786,Karl Hammel Jr.,US
787,Kasenetz-Katz Singing Orchestral Circus,US
788,Kathy Kirby,GB
789,Kathy Young With The Innocents,US
790,Kay Starr,US
791,Keith,GB
792,Keith Barbour,US
793,Keith Colley,US
794,Kenny Ball and his Jazzmen,GB
795,Kenny Chandler,US
796,Kenny Dino,US
797,Kenny O'Dell,US
798,Kenny Rogers & The First Edition,US
799,Ketty Lester,US
804,King Curtis And The Noble Knights,US
805,Kirby St. Romain,US
806,Kitty Kallen,US
807,Ko Ko Taylor,US
808,Kokomo,GB
809,Kool & The Gang,US
810,Kris Jensen,US
811,Kyu Sakamoto,JP
814,Lale Anderson,DE
815,Lalo Schifrin,AR
816,Larry Bright,US
817,Larry Finnegan,US
818,Larry Hall,US
819,Larry Verne,US
820,Larry Williams,US
821,Laura Lee,US
822,Lawrence Reynolds,US
823,Lawrence Welk,US
824,Leapy Lee,GB
825,Led Zeppelin,GB
826,Lee Dorsey,US
827,Lee Hazlewood,US
828,Lee Morgan,US
829,Lefty Frizzell,US
830,Lemon Pipers,US
831,Len Barry,US
832,Lena Horne,US
833,Lenny Miles,US
834,Lenny O'Henry,US
835,Lenny Welch,US
836,Leon Hayward,US
837,Leon Haywood,US
838,Leroy Pullins,US
839,Leroy Van Dyke,US
840,Les Compagnons De La Chanson,FR
841,Les Cooper and the Soul Rockers,US
842,Les Paul And Mary Ford,US
843,Lesley Gore,US
844,Linda Hopkins,US
845,Linda Jones,US
846,Linda Ronstadt,US
847,Linda Ronstadt & The Stone Poneys,US
848,Linda Scott,US
849,Link Wray And The Wraymen,US
850,Little Anthony And The Imperials,US
851,Little Caesar,US
852,Little Carl Carlton,US
853,Little Esther Phillips,US
854,Little Eva,US
855,Little Jimmy Dickens,US
856,Little Jo Ann,US
857,Little Joey And The Flips,US
858,Little Johnny Taylor,US
859,Little Jr. Parker,US
860,Little Junior Parker,US
861,Little Milton,US
862,Little Peggy March,US
863,Little Richard,US
864,Little Stevie Wonder,US
865,Little Willie John,US
866,Liverpool Five,GB
867,Lloyd Price,US
868,Lolita,AT
869,Long John Baldry,GB
870,Lonnie Donegan And His Skiffle Group,GB
871,Lonnie Mack,US
872,Lonnie Russ,US
873,Lorne Greene,CA
874,Lorraine Ellison,US
875,Los Bravos,ES
876,Los Indios Tabajaras,BR
877,Los Pop Tops,ES
878,Lou Christie,US
879,Lou Courtney,US
880,Lou Donaldson,US
881,Lou Johnson,US
882,Lou Monte,US
883,Lou Rawls,US
884,Louis Armstrong,US
885,Louis Prima,US
886,Louis Williams,US
887,Louise Brown,GB
888,Love,US
889,Lowell Fulsom,US
890,Lucille Starr,CA
891,Lulu,US
892,Lyme & Cybelle,US
893,MC5,US
894,Mable John,US
895,Madeline Bell,US
896,Magic Lanterns,GB
897,Mahalia Jackson,US
898,Major Lance,US
899,Mama Cass,US
900,Manfred Mann,GB
901,Manny Kellem,US
902,Mantovani,IT
903,Mar-Keys,US
904,Marcie Blane,US
905,Marcy Joe,US
906,Margaret Whiting,US
907,Marianne Faithfull,GB
908,Marion Worth,US
909,Mark Dinning,US
912,Mark Valentino,US
913,Marlena Shaw,US
914,Marlowe Morris Quintet,US
915,Martha & The Vandellas,US
916,Martha Reeves & The Vandellas,US
917,Martin Denny,US
918,Marty Robbins,US
919,Marty Wilde,GB
920,Marv Johnson,US
921,Marva Whitney,US
922,Marvin Gaye,US
923,Mary Ann Fisher,US
924,Mary Hopkin,GB
927,Mason Williams,US
928,Matt Lucas,GB
929,Matt Monro,GB
930,Maureen Gray,US
931,Maurice Williams & The Zodiacs,US
932,Max Frost And The Troopers,US
935,Mel And Tim,US
936,Mel Carter,US
937,Mel Gadson,US
938,Mel Torme,US
939,Mello-Kings,US
940,Mercy,GB
941,Merle Haggard And The Strangers,US
942,Merrilee Rush,US
943,Merrilee Rush & The Turnabouts,US
944,Merv Griffin,US
945,Michele Lee,US
946,Mickey & Sylvia,US
947,Mickey Lee Lane,US
948,Mickey Murray,US
949,Mickey Shorr and The Cutups,US
950,Micky Dolenz,US
951,Mike Clifford,US
952,Mike Douglas,US
953,Mike Sharpe,US
954,Mike Williams,US
955,Millie Small,JM
956,Mina,IT
957,Miriam Makeba,ZA
958,Miss Toni Fisher,US
959,Mitch Miller,US
960,Mitch Ryder,US
961,Mitch Ryder And The Detroit Wheels,US
962,Mitchell Torok,US
963,Mitty Collier,US
964,Moby Grape,US
965,Moms Mabley,US
966,Mongo Santamaria,CU
967,Monty Kelly,US
968,Morty Jay And The Surferin' Cats,US
969,Motherlode,CA
970,Mr. Acker Bilk,GB
971,Mrs. Miller,US
972,Murry Kellum,US
973,Nancy Ames,US
974,Nancy Sinatra,US
975,Nancy Wilson,US
976,Napoleon XIV,US
977,Narvel Felts,US
978,Nat Kendrick And The Swans,US
981,Nathaniel Mayer And The Fabulous Twilights,US
982,Nazz,US
983,Neal Hefti,US
984,Ned Miller,US
985,Neil Diamond,US
986,Neil Scott,GB
987,Neil Sedaka,US
988,Nella Dodds,US
989,Nelson Riddle,US
990,New Colony Six,US
991,Nick DeCaro,US
992,Nickey DeMatteo,US
993,Nilsson,US
994,Nina Simone,US
995,Nino & The Ebb Tides,US
996,Nino Tempo & April Stevens,US
997,Noel Harrison,GB
998,Norma Tanega,US
999,O.C. Smith,US
1000,O.V. Wright,US
1001,Ohio Express,US
1002,Ola & The Janglers,SE
1003,Oliver,DE
1004,Ollie & The Nightingales,US
1005,Orpheus,US
1006,Oscar Black,US
1007,Oscar Toney Jr.,US
1008,Otis & Carla,US
1009,Otis Clay,US
1010,Otis Leavill,US
1011,Otis Redding,US
1012,Otis Williams And His Charms,US
1013,P.F. Sloan,US
1014,P.J. Proby,US
1015,Paris Sisters,US
1016,Pat Boone,US
1017,Pat Thomas,GH
1018,Pat Zill,US
1019,Patsy Cline,US
1020,Patti Drew,US
1021,Patti LaBelle And The Blue Belles,US
1022,Patti Page,US
1023,Patty & The Emblems,US
1024,Patty Duke,US
1025,Paul Anka,CA
1026,Paul Chaplain and his Emeralds,US
1027,Paul Dino,US
1028,Paul Evans,US
1029,Paul Mauriat,FR
1030,Paul Peek,US
1031,Paul Petersen,US
1032,Paul Revere & The Raiders,US
1033,Paul Vance,US
1034,Paul and Paula,US
1035,Peaches & Herb,US
1036,Pearlettes,SE
1037,Peggy Lee,US
1038,Peggy Scott & Jo Jo Benson,US
1039,People,XW
1040,Peppermint Rainbow,US
1041,Percy Faith,CA
1042,Percy Mayfield,US
1043,Percy Sledge,US
1044,Perez Prado,CU
1045,Perry Como,US
1046,Pete Antell,US
1047,Pete Drake And His Talking Steel Guitar,US
1048,Pete Fountain,US
1049,Pete Seeger,US
1050,Peter And Gordon,GB
1051,Peter Sarstedt,GB
1052,"Peter, Paul & Mary",US
1053,Petula Clark,GB
1054,Phil Bodner,US
1055,Phil McLean,US
1056,Philip Upchurch ,US
1057,Phill Wilson,US
1058,Phyllis McGuire,US
1059,Pieces Of Eight,US
1060,Piero Soffici,IT
1061,Piero Umiliani,IT
1062,Pigmeat Markham,US
1063,Pips,US
1064,Plastic Ono Band,GB
1065,Pookie Hudson,US
1066,Porter Wagoner,US
